,text,embeddings,distances
0," – 2022 (MMXXII) was a common year starting on Saturday of the Gregorian calendar, the 2022nd year of the Common Era (CE) and Anno Domini (AD) designations, the 22nd  year of the 3rd millennium and the 21st century, and the  3rd   year of the 2020s decade.  ","[ 4.09918939e-05 -1.79859977e-02 -1.71821546e-02 ... -7.89399352e-03
 -1.29117351e-02 -1.30373361e-02]",0.2909613892583721
1," – The year saw the removal of nearly all COVID-19 restrictions and the reopening of international borders in most countries, while the global rollout of COVID-19 vaccines continued. The global economic recovery from the pandemic continued, though many countries experienced an ongoing inflation surge; in response, many central banks raised their interest rates to landmark levels. The world population reached eight billion people in 2022. The year also witnessed numerous natural disasters, including two devastating Atlantic hurricanes (Fiona and Ian), and the most powerful volcano eruption of the century so far. The later part of the year also saw the first public release of ChatGPT by OpenAI starting an arms race in artificial intelligence which increased in intensity into 2023, as well as the collapse of the cryptocurrency exchange FTX.","[-0.01069754 -0.02300475 -0.00018612 ... -0.01672707 -0.01300472
 -0.02292426]",0.27673005769757675
2," – 2022 was also dominated by wars and armed conflicts. While escalations into the internal conflict in Myanmar and the Tigray War dominated the heightening of tensions within their regions and each caused over 10,000 deaths, 2022 was most notable for the Russian invasion of Ukraine, the largest armed conflict in Europe since World War II. The invasion caused the displacement of 15.7 million Ukrainians (8 million internally displaced persons and 7.7 million refugees), and led to international condemnations and sanctions and nuclear threats, the withdrawal of hundreds of companies from Russia, and the exclusion of Russia from major sporting events.","[-0.00962618 -0.01530112  0.01076647 ... -0.00187783  0.00818756
 -0.00845937]",0.1853606978911877
3," January 1 – The Regional Comprehensive Economic Partnership, the largest free trade area in the world, comes into effect for Australia, Brunei, Cambodia, China, Indonesia, Japan, South Korea, Laos, Malaysia, Myanmar, New Zealand, the Philippines, Singapore, Thailand, and Vietnam.","[-0.00054047 -0.02415807 -0.00532435 ... -0.00850322 -0.01495937
 -0.01806934]",0.28970156573242467
4,January 2 – Abdalla Hamdok resigns as Prime Minister of Sudan amid deadly protests.,"[-0.01513854  0.00115732 -0.02068717 ... -0.00151061  0.00817351
  0.00743933]",0.2616243455596384
5,"January 4 – The five permanent members of the UN Security Council—China, France, Russia, the United Kingdom and the United States—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""","[-0.00322142 -0.01271612 -0.00744757 ...  0.01375225  0.0182233
 -0.00874744]",0.23042806436673502
6,"January 5 – A nationwide state of emergency is declared in Kazakhstan in response to the 2022 Kazakh unrest. The cabinet of prime minister Askar Mamin resigns, while president Kassym-Jomart Tokayev removes former president Nursultan Nazarbayev, widely regarded as being the real power in the country, from his position as Chairman of the Security Council of Kazakhstan.","[-0.00287669 -0.00614311 -0.00129137 ...  0.013462    0.01977685
 -0.02364767]",0.21798036234680718
7,"January 6 – The CSTO deploys a ""peacekeeping"" mission in Kazakhstan, including Russian paratroopers, following a request by Kazakh president Tokayev.","[ 0.01262735  0.00304479  0.00595967 ...  0.02593024  0.02603417
 -0.01575821]",0.17785755720157825
8,January 7 – COVID-19 pandemic: The number of COVID-19 cases exceeds 300 million worldwide.,"[ 0.00650504 -0.00334563  0.0053319  ...  0.00034255  0.0033239
 -0.02718711]",0.26210795110120444
9,"January 9 – February 6 – The 2021 Africa Cup of Nations is held in Cameroon, with Senegal winning their first championship.","[-0.00275745 -0.02058472  0.01557522 ... -0.01402405  0.02236474
  0.00030614]",0.26298015395705576
10,"January 10 – The first successful heart transplant from a pig to a human patient occurs in Baltimore, Maryland, United States.","[-0.00902599 -0.01297083  0.00978784 ... -0.01124053  0.00700515
 -0.00522642]",0.2869219081741987
11,"January 15 – A large eruption of Hunga Tonga–Hunga Ha'apai, a submarine volcano in Tonga, triggers tsunami warnings in Australia, Canada, Chile, Fiji, Japan, New Zealand, Samoa, and the United States.","[-0.00621637 -0.01733938  0.00988358 ...  0.01383829  0.02145381
  0.00544651]",0.25380893298863894
12,"January 16 – World No. 1 tennis champion Novak Djokovic is deported from Australia following a high-profile legal case regarding his COVID-19 vaccination status, preventing his participation in the 2022 Australian Open.","[-1.40887918e-02 -2.57129967e-02  2.74407491e-03 ... -1.93990842e-02
  6.91735512e-03  4.75409361e-05]",0.26446127216404014
13,"January 23 – Tropical Storm Ana kills 115 people in Madagascar, Malawi and Mozambique, days after a series of floods killed 11 people in Madagascar.","[-0.01505969 -0.00715816  0.00064524 ... -0.00505621 -0.02048118
 -0.00765801]",0.262418316187513
14,January 23 – A coup d'état in Burkina Faso removes president Roch Kaboré from power. The Burkinabé military cites the government's failure to contain activities of Islamist militants within the country as a reason for the coup.,"[-0.02872838 -0.01281818  0.00640583 ... -0.00053083  0.0094
  0.00624601]",0.23039939745450222
15,"January 24 – The federal government under Scott Morrison announces that, after more than three years of confidential negotiations, copyright ownership of the Australian Aboriginal Flag has been transferred to the Commonwealth.","[-0.0092504  -0.00848117 -0.01735347 ...  0.01218394  0.02541091
 -0.03037835]",0.2729059590211441
16,January 28 – COVID-19 pandemic: The number of vaccinations administered worldwide exceeds 10 billion.,"[-0.00761801 -0.00766813 -0.00296482 ... -0.00693515  0.00694768
 -0.017128  ]",0.2554111481803091
17,February 3 – Islamic State leader Abu Ibrahim al-Hashimi al-Qurashi is killed in Atme during a counter-terrorism raid by U.S. special forces in north-western Syria.,"[-0.03842128  0.00738368 -0.00953344 ... -0.00049864  0.0186879
 -0.00049293]",0.24660419296416458
18,"February 4 – China and Russia issue a joint statement opposing further NATO expansion, expressing ""serious concerns"" about the AUKUS security pact, and pledging to cooperate with each other on a range of issues.","[-0.01090216 -0.03539326 -0.00199571 ...  0.01058568  0.00595485
 -0.0044177 ]",0.20029308894592757
19,"February 4 – February 20 – The 2022 Winter Olympics are held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics.","[-0.00914901 -0.02713154 -0.01328814 ... -0.00243868  0.00235824
 -0.00926258]",0.2614078624977876
20,"February 5 – Cyclone Batsirai kills a total of 123 people across Madagascar, Mauritius, and Réunion two weeks after Tropical Storm Ana killed 115 people in the same region.","[-0.0213696  -0.00405748  0.0019421  ...  0.00384169 -0.01151526
 -0.01528829]",0.25022493536684487
21,"February 6 – Queen Elizabeth II celebrates her ""Platinum Jubilee"", marking 70 years as Queen of the United Kingdom.","[-0.0158211  -0.01431079 -0.01587062 ...  0.01714571  0.00895043
 -0.0059391 ]",0.25328838774444773
